filename, language, HTML, JavaScript, TypeScript, JSON, SCSS, CSS, XML, comment, blank, total
app\app-routing-routing.module.ts, TypeScript, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
app\app-routing.module.ts, TypeScript, 0, 0, 67, 0, 0, 0, 0, 1, 5, 73
app\app.component.html, HTML, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
app\app.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
app\app.component.spec.ts, TypeScript, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
app\app.component.ts, TypeScript, 0, 0, 47, 0, 0, 0, 0, 0, 16, 63
app\app.module.ts, TypeScript, 0, 0, 146, 0, 0, 0, 0, 3, 9, 158
app\component\dashboard\customers\customers.component.html, HTML, 199, 0, 0, 0, 0, 0, 0, 17, 6, 222
app\component\dashboard\customers\customers.component.scss, SCSS, 0, 0, 0, 0, 65, 0, 0, 3, 18, 86
app\component\dashboard\customers\customers.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\customers\customers.component.ts, TypeScript, 0, 0, 400, 0, 0, 0, 0, 34, 37, 471
app\component\dashboard\dashboard.component.html, HTML, 263, 0, 0, 0, 0, 0, 0, 41, 5, 309
app\component\dashboard\dashboard.component.scss, SCSS, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
app\component\dashboard\dashboard.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\dashboard.component.ts, TypeScript, 0, 0, 249, 0, 0, 0, 0, 14, 30, 293
app\component\dashboard\document-preview\document-preview.component.html, HTML, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
app\component\dashboard\document-preview\document-preview.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
app\component\dashboard\document-preview\document-preview.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\document-preview\document-preview.component.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\parameters\event-category\event-category.component.html, HTML, 140, 0, 0, 0, 0, 0, 0, 0, 4, 144
app\component\dashboard\parameters\event-category\event-category.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
app\component\dashboard\parameters\event-category\event-category.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\parameters\event-category\event-category.component.ts, TypeScript, 0, 0, 202, 0, 0, 0, 0, 36, 21, 259
app\component\dashboard\parameters\parameter-item\parameter-item.component.html, HTML, 158, 0, 0, 0, 0, 0, 0, 32, 8, 198
app\component\dashboard\parameters\parameter-item\parameter-item.component.scss, SCSS, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
app\component\dashboard\parameters\parameter-item\parameter-item.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\parameters\parameter-item\parameter-item.component.ts, TypeScript, 0, 0, 415, 0, 0, 0, 0, 12, 51, 478
app\component\dashboard\parameters\parameters.component.html, HTML, 57, 0, 0, 0, 0, 0, 0, 29, 0, 86
app\component\dashboard\parameters\parameters.component.scss, SCSS, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
app\component\dashboard\parameters\parameters.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\parameters\parameters.component.ts, TypeScript, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
app\component\dashboard\parameters\work-time-colors\work-time-colors.component.html, HTML, 124, 0, 0, 0, 0, 0, 0, 0, 4, 128
app\component\dashboard\parameters\work-time-colors\work-time-colors.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
app\component\dashboard\parameters\work-time-colors\work-time-colors.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\parameters\work-time-colors\work-time-colors.component.ts, TypeScript, 0, 0, 192, 0, 0, 0, 0, 36, 21, 249
app\component\dashboard\profile\profile.component.html, HTML, 292, 0, 0, 0, 0, 0, 0, 228, 2, 522
app\component\dashboard\profile\profile.component.scss, SCSS, 0, 0, 0, 0, 76, 0, 0, 0, 16, 92
app\component\dashboard\profile\profile.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\profile\profile.component.ts, TypeScript, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
app\component\dashboard\settings\settings-routing.module.ts, TypeScript, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
app\component\dashboard\settings\settings.component.html, HTML, 55, 0, 0, 0, 0, 0, 0, 0, 0, 55
app\component\dashboard\settings\settings.component.scss, SCSS, 0, 0, 0, 0, 4645, 0, 0, 178, 85, 4908
app\component\dashboard\settings\settings.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\settings\settings.component.ts, TypeScript, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
app\component\dashboard\settings\settings.module.ts, TypeScript, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
app\component\dashboard\statistic\statistic.component.html, HTML, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
app\component\dashboard\statistic\statistic.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
app\component\dashboard\statistic\statistic.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\statistic\statistic.component.ts, TypeScript, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
app\component\dashboard\store\store.component.html, HTML, 264, 0, 0, 0, 0, 0, 0, 0, 10, 274
app\component\dashboard\store\store.component.scss, SCSS, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
app\component\dashboard\store\store.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\store\store.component.ts, TypeScript, 0, 0, 421, 0, 0, 0, 0, 21, 33, 475
app\component\dashboard\task\base-date\base-date.component.html, HTML, 1339, 0, 0, 0, 0, 0, 0, 30, 36, 1405
app\component\dashboard\task\base-date\base-date.component.scss, SCSS, 0, 0, 0, 0, 58, 0, 0, 3, 14, 75
app\component\dashboard\task\base-date\base-date.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\task\base-date\base-date.component.ts, TypeScript, 0, 0, 991, 0, 0, 0, 0, 61, 93, 1145
app\component\dashboard\task\my-navigation-view.ts, TypeScript, 0, 0, 40, 0, 0, 0, 0, 5, 8, 53
app\component\dashboard\task\my-navigation.ts, TypeScript, 0, 0, 74, 0, 0, 0, 0, 6, 12, 92
app\component\dashboard\task\task.component.html, HTML, 649, 0, 0, 0, 0, 0, 0, 108, 43, 800
app\component\dashboard\task\task.component.scss, SCSS, 0, 0, 0, 0, 177, 0, 0, 18, 39, 234
app\component\dashboard\task\task.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\task\task.component.ts, TypeScript, 0, 0, 1414, 0, 0, 0, 0, 119, 109, 1642
app\component\dashboard\users\user-details\user-details.component.html, HTML, 409, 0, 0, 0, 0, 0, 0, 183, 12, 604
app\component\dashboard\users\user-details\user-details.component.scss, SCSS, 0, 0, 0, 0, 37, 0, 0, 3, 9, 49
app\component\dashboard\users\user-details\user-details.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\users\user-details\user-details.component.ts, TypeScript, 0, 0, 486, 0, 0, 0, 0, 5, 46, 537
app\component\dashboard\users\users.component.html, HTML, 191, 0, 0, 0, 0, 0, 0, 75, 7, 273
app\component\dashboard\users\users.component.scss, SCSS, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
app\component\dashboard\users\users.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\users\users.component.ts, TypeScript, 0, 0, 433, 0, 0, 0, 0, 21, 34, 488
app\component\dashboard\vaucher\vaucher.component.html, HTML, 197, 0, 0, 0, 0, 0, 0, 0, 5, 202
app\component\dashboard\vaucher\vaucher.component.scss, SCSS, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
app\component\dashboard\vaucher\vaucher.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\dashboard\vaucher\vaucher.component.ts, TypeScript, 0, 0, 574, 0, 0, 0, 0, 41, 45, 660
app\component\login\change-password\change-password.component.html, HTML, 93, 0, 0, 0, 0, 0, 0, 28, 18, 139
app\component\login\change-password\change-password.component.scss, SCSS, 0, 0, 0, 0, 351, 0, 0, 7, 64, 422
app\component\login\change-password\change-password.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\login\change-password\change-password.component.ts, TypeScript, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
app\component\login\login-data.ts, TypeScript, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
app\component\login\login.component.html, HTML, 180, 0, 0, 0, 0, 0, 0, 34, 17, 231
app\component\login\login.component.scss, SCSS, 0, 0, 0, 0, 359, 0, 0, 3, 62, 424
app\component\login\login.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\login\login.component.ts, TypeScript, 0, 0, 196, 0, 0, 0, 0, 10, 17, 223
app\component\templates\confirm-arrival\confirm-arrival.component.html, HTML, 22, 0, 0, 0, 0, 0, 0, 1, 4, 27
app\component\templates\confirm-arrival\confirm-arrival.component.scss, SCSS, 0, 0, 0, 0, 146, 0, 0, 1, 17, 164
app\component\templates\confirm-arrival\confirm-arrival.component.spec.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
app\component\templates\confirm-arrival\confirm-arrival.component.ts, TypeScript, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
app\models\base-one-model.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 2, 1, 12
app\models\base-two-model.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 2, 1, 15
app\models\complaint-therapy-model.ts, TypeScript, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
app\models\customer-model.ts, TypeScript, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
app\models\event-category-model.ts, TypeScript, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
app\models\navigation-menu.ts, TypeScript, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
app\models\physical-model.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
app\models\store-model.ts, TypeScript, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
app\models\therapy-model.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
app\models\user-model.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
app\models\vaucher-model.ts, TypeScript, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
app\models\work-time-model.ts, TypeScript, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
app\service\customers.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\customers.service.ts, TypeScript, 0, 0, 170, 0, 0, 0, 0, 1, 41, 212
app\service\dashboard.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\dashboard.service.ts, TypeScript, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
app\service\event-category.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\event-category.service.ts, TypeScript, 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
app\service\login-guard\adminGuard.ts, TypeScript, 0, 0, 17, 0, 0, 0, 0, 3, 9, 29
app\service\login-guard\dashboardGuard.ts, TypeScript, 0, 0, 18, 0, 0, 0, 0, 2, 6, 26
app\service\login-guard\expertGuard.ts, TypeScript, 0, 0, 21, 0, 0, 0, 0, 4, 8, 33
app\service\login-guard\loggedGuard.ts, TypeScript, 0, 0, 17, 0, 0, 0, 0, 11, 8, 36
app\service\login-guard\loginGuard.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 2, 8, 29
app\service\login-guard\mainGuard.ts, TypeScript, 0, 0, 18, 0, 0, 0, 0, 2, 6, 26
app\service\login-guard\rulesGuard.ts, TypeScript, 0, 0, 18, 0, 0, 0, 0, 2, 6, 26
app\service\login-guard\userMainGuard.ts, TypeScript, 0, 0, 19, 0, 0, 0, 0, 2, 6, 27
app\service\login.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\login.service.ts, TypeScript, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
app\service\mail.service.spec.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
app\service\mail.service.ts, TypeScript, 0, 0, 27, 0, 0, 0, 0, 0, 10, 37
app\service\message.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\message.service.ts, TypeScript, 0, 0, 55, 0, 0, 0, 0, 0, 17, 72
app\service\mongo.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\mongo.service.ts, TypeScript, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
app\service\parameter-item.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\parameter-item.service.ts, TypeScript, 0, 0, 69, 0, 0, 0, 0, 2, 17, 88
app\service\profile.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\profile.service.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
app\service\service-helper.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\service-helper.service.ts, TypeScript, 0, 0, 11, 0, 0, 0, 0, 17, 4, 32
app\service\store.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\store.service.ts, TypeScript, 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
app\service\task.interface.ts, TypeScript, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
app\service\task.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\task.service.ts, TypeScript, 0, 0, 138, 0, 0, 0, 0, 0, 30, 168
app\service\users.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\users.service.ts, TypeScript, 0, 0, 73, 0, 0, 0, 0, 0, 15, 88
app\service\vaucher.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\vaucher.service.ts, TypeScript, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
app\service\work-time-colors.service.spec.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
app\service\work-time-colors.service.ts, TypeScript, 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
app\standardUrlSerializer.ts, TypeScript, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
assets\clinic-node2.svg, XML, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
assets\configuration\language-config.json, JSON, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
assets\configuration\task-color.json, JSON, 0, 0, 0, 66, 0, 0, 0, 0, 0, 66
assets\configuration\theme-config.json, JSON, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
assets\configuration\translation\english.json, JSON, 0, 0, 0, 325, 0, 0, 0, 0, 1, 326
assets\configuration\translation\germany.json, JSON, 0, 0, 0, 316, 0, 0, 0, 0, 1, 317
assets\configuration\workTime.json, JSON, 0, 0, 0, 77, 0, 0, 0, 0, 0, 77
assets\css\bootstrap.min.css, CSS, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
assets\css\custom\theme1.scss, SCSS, 0, 0, 0, 0, 785, 0, 0, 64, 146, 995
